Device Time, Accelerator PedalPosition E(%),Air Fuel Ratio(Measured)(:1),Engine RPM(rpm),Fuel Trim Bank 1 Short Term(%),Fuel Trim Bank 2 Short Term(%),Mass Air Flow Rate(g/s),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 2 sensor 2(V),Timing Advance(°)
10-apr.-2017 20:21:49.050,-,-,735.25,-,-,5.76999998,-,-,9.5
10-apr.-2017 20:21:49.147,-,-,735.25,-,-,5.76999998,-,-,9.5
10-apr.-2017 20:21:49.247,-,-,735.25,-,-,5.76999998,-,-,9.5
10-apr.-2017 20:21:49.348,-,-,735.25,-,-,7.51999998,-,-,9
10-apr.-2017 20:21:49.448,-,-,735.25,-,-,7.51999998,-,-,9
10-apr.-2017 20:21:49.548,-,-,735.25,-,-,7.51999998,-,-,9
10-apr.-2017 20:21:49.649,-,-,735.25,2.34375,-,7.51999998,-,-,9
10-apr.-2017 20:21:49.748,-,-,735.25,2.34375,-,7.51999998,-,-,9
10-apr.-2017 20:21:49.849,-,-,735.25,2.34375,0,7.51999998,-,-,9
10-apr.-2017 20:21:49.947,-,14.64257717,735.25,2.34375,0,7.51999998,-,-,9
10-apr.-2017 20:21:50.047,7.45098066,14.64257717,735.25,2.34375,0,7.51999998,-,-,9
10-apr.-2017 20:21:50.147,7.45098066,14.64257717,743,2.34375,0,7.5,-,-,9
10-apr.-2017 20:21:50.251,7.45098066,14.64257717,743,2.34375,0,7.5,-,-,9
10-apr.-2017 20:21:50.347,7.45098066,14.64257717,743,2.34375,0,7.5,-,-,9
10-apr.-2017 20:21:50.446,7.45098066,14.64257717,743,1.5625,0,7.5,-,-,9.5
10-apr.-2017 20:21:50.547,7.45098066,14.6318121,743,1.5625,0,7.5,-,-,9.5
10-apr.-2017 20:21:50.647,7.45098066,14.6318121,734.75,1.5625,0,7.46999979,-,-,9.5
10-apr.-2017 20:21:50.750,7.45098066,14.6318121,734.75,1.5625,0,7.46999979,-,-,9.5
10-apr.-2017 20:21:50.849,7.45098066,14.6318121,734.75,1.5625,0,7.46999979,-,-,9.5
10-apr.-2017 20:21:50.947,7.45098066,14.6318121,734.75,1.5625,0,7.46999979,-,-,10.5
10-apr.-2017 20:21:51.055,7.45098066,14.53132343,734.75,1.5625,0,7.46999979,-,-,10.5
10-apr.-2017 20:21:51.149,7.45098066,14.53132343,741,1.5625,0,7.44000006,-,-,10.5
10-apr.-2017 20:21:51.251,7.45098066,14.53132343,741,0.78125,0,7.44000006,-,-,10.5
10-apr.-2017 20:21:51.348,7.45098066,14.53132343,741,0.78125,-0.78125,7.44000006,-,-,11
10-apr.-2017 20:21:51.447,7.45098066,14.72153282,741,0.78125,-0.78125,7.80000019,-,-,11
10-apr.-2017 20:21:51.547,7.45098066,14.72153282,735.5,0.78125,-0.78125,7.80000019,-,-,11
10-apr.-2017 20:21:51.647,7.45098066,14.72153282,735.5,0.78125,-0.78125,7.80000019,-,-,12
10-apr.-2017 20:21:51.747,7.45098066,14.64257717,735.5,0.78125,-0.78125,7.80000019,-,-,12
10-apr.-2017 20:21:51.849,7.45098066,14.64257717,738.5,0.78125,-0.78125,7.51999998,-,-,12
10-apr.-2017 20:21:51.947,7.45098066,14.64257717,738.5,0.78125,-0.78125,7.51999998,-,-,11
10-apr.-2017 20:21:52.048,7.84313726,14.76818848,738.5,0.78125,-0.78125,7.51999998,-,-,11
10-apr.-2017 20:21:52.148,7.84313726,14.76818848,730.25,0.78125,-0.78125,7.71999979,-,-,11
10-apr.-2017 20:21:52.248,7.84313726,14.76818848,730.25,0.78125,-0.78125,7.71999979,-,-,15.5
10-apr.-2017 20:21:52.348,7.84313726,14.66052151,730.25,0.78125,-0.78125,7.71999979,-,-,15.5
10-apr.-2017 20:21:52.447,10.1960783,14.66052151,730.25,0.78125,-0.78125,11.30000019,-,-,15.5
10-apr.-2017 20:21:52.548,10.1960783,14.66052151,730.25,0.78125,-0.78125,11.30000019,-,-,15.5
10-apr.-2017 20:21:52.648,10.1960783,14.66052151,792,0.78125,-0.78125,11.30000019,-,-,15.5
10-apr.-2017 20:21:52.747,10.1960783,14.53491211,792,0.78125,-1.5625,11.30000019,-,-,21
10-apr.-2017 20:21:52.848,10.98039246,14.53491211,792,0.78125,-1.5625,14,-,-,21
10-apr.-2017 20:21:52.947,10.98039246,14.53491211,1034.25,-0.78125,-1.5625,14,-,-,21
10-apr.-2017 20:21:53.047,10.98039246,14.18320274,1034.25,-0.78125,-2.34375,14,-,-,20
10-apr.-2017 20:21:53.148,10.98039246,14.18320274,1034.25,-0.78125,-2.34375,14.88000011,-,-,20
10-apr.-2017 20:21:53.247,10.98039246,14.18320274,1084.5,-1.5625,-2.34375,14.88000011,-,-,23
10-apr.-2017 20:21:53.347,10.98039246,14.14731503,1084.5,-1.5625,-3.125,14.88000011,-,-,23
10-apr.-2017 20:21:53.447,11.37254906,14.14731503,1132,-1.5625,-3.125,16.11000061,-,-,23
10-apr.-2017 20:21:53.547,11.37254906,14.14731503,1132,-3.125,-3.125,16.11000061,-,-,24
10-apr.-2017 20:21:53.647,11.37254906,14.58515644,1132,-3.125,-3.90625,16.11000061,-,-,24
10-apr.-2017 20:21:53.749,11.37254906,14.58515644,1132,-3.125,-3.90625,16.79999924,-,-,24
10-apr.-2017 20:21:53.847,11.37254906,14.58515644,1164.5,-3.125,-3.90625,16.79999924,-,-,24
10-apr.-2017 20:21:53.948,11.37254906,14.58515644,1164.5,-2.34375,-3.90625,16.79999924,-,-,25.5
10-apr.-2017 20:21:54.047,11.76470566,14.80048752,1164.5,-2.34375,-3.90625,16.79999924,-,-,25.5
10-apr.-2017 20:21:54.148,11.76470566,14.80048752,1206.75,-1.5625,-3.90625,17.07999992,-,-,25.5
10-apr.-2017 20:21:54.247,11.76470566,14.80048752,1206.75,-1.5625,-3.125,17.07999992,-,-,25.5
10-apr.-2017 20:21:54.347,12.15686321,14.74665546,1206.75,-1.5625,-3.125,19.12999916,-,-,25.5
10-apr.-2017 20:21:54.446,12.15686321,14.74665546,1246,-1.5625,-3.125,19.12999916,-,-,25.5
10-apr.-2017 20:21:54.547,12.15686321,14.74665546,1246,-1.5625,-2.34375,19.12999916,-,-,26
10-apr.-2017 20:21:54.648,12.15686321,14.71076679,1246,-1.5625,-2.34375,19.12999916,-,-,26
10-apr.-2017 20:21:54.748,12.15686321,14.71076679,1319.75,-0.78125,-2.34375,20.71999931,-,-,26
10-apr.-2017 20:21:54.848,12.15686321,14.71076679,1319.75,-0.78125,-1.5625,20.71999931,-,-,26
10-apr.-2017 20:21:54.947,12.54901981,15.09836388,1319.75,-0.78125,-1.5625,20.71999931,-,-,26
10-apr.-2017 20:21:55.048,12.54901981,15.09836388,1372.25,-0.78125,-1.5625,21.87999916,-,-,26
10-apr.-2017 20:21:55.147,12.54901981,15.09836388,1372.25,0,-1.5625,21.87999916,-,-,26
10-apr.-2017 20:21:55.247,12.54901981,15.09836388,1372.25,0,0,21.87999916,-,-,27
10-apr.-2017 20:21:55.348,11.76470566,14.63539982,1372.25,0,0,21.87999916,-,-,27
10-apr.-2017 20:21:55.451,11.76470566,14.63539982,1433.5,0.78125,0,22.44000053,-,-,27
10-apr.-2017 20:21:55.547,11.76470566,14.63539982,1433.5,0.78125,0,22.44000053,-,-,28.5
10-apr.-2017 20:21:55.648,11.37254906,14.83996487,1433.5,0.78125,0,22.44000053,-,-,28.5
10-apr.-2017 20:21:55.746,11.37254906,14.83996487,1367.75,0.78125,0,16.57999992,-,-,28.5
10-apr.-2017 20:21:55.847,11.37254906,14.83996487,1367.75,0,-0.78125,16.57999992,-,-,29
10-apr.-2017 20:21:55.947,11.37254906,14.39135742,1367.75,0,-0.78125,16.57999992,-,-,29
10-apr.-2017 20:21:56.047,11.37254906,14.39135742,1314.25,-0.78125,-0.78125,15.57999992,-,-,29
10-apr.-2017 20:21:56.148,11.37254906,14.39135742,1314.25,-0.78125,-2.34375,15.57999992,-,-,30
10-apr.-2017 20:21:56.247,11.37254906,14.14731503,1314.25,-0.78125,-2.34375,15.60999966,-,-,30
10-apr.-2017 20:21:56.350,11.37254906,14.14731503,1284.5,-0.78125,-2.34375,15.60999966,-,-,30
10-apr.-2017 20:21:56.449,11.37254906,14.14731503,1284.5,-1.5625,-2.34375,15.60999966,-,-,30
10-apr.-2017 20:21:56.547,11.37254906,14.14731503,1284.5,-1.5625,-3.125,15.60999966,-,-,29
10-apr.-2017 20:21:56.648,11.37254906,14.87226582,1284.5,-1.5625,-3.125,15.57999992,-,-,29
10-apr.-2017 20:21:56.748,11.37254906,14.87226582,1291.25,-1.5625,-3.125,15.57999992,-,-,29
10-apr.-2017 20:21:56.848,11.37254906,14.77177715,1291.25,-1.5625,-3.90625,15.57999992,-,-,28.5
10-apr.-2017 20:21:56.948,11.37254906,14.77177715,1291.25,-1.5625,-3.90625,16.52000046,-,-,28.5
10-apr.-2017 20:21:57.047,11.37254906,14.77177715,1291.75,-1.5625,-3.90625,16.52000046,-,-,29
10-apr.-2017 20:21:57.146,11.37254906,14.38417912,1291.75,-1.5625,-3.90625,16.52000046,-,-,29
10-apr.-2017 20:21:57.247,11.76470566,14.38417912,1291.75,-1.5625,-3.90625,18.02000046,-,-,29
10-apr.-2017 20:21:57.348,11.76470566,14.38417912,1356,-2.34375,-3.90625,18.02000046,-,-,29
10-apr.-2017 20:21:57.447,11.76470566,14.72871017,1356,-2.34375,-3.125,18.02000046,-,-,29
10-apr.-2017 20:21:57.546,12.54901981,14.72871017,1356,-2.34375,-3.125,22.57999992,-,-,29
10-apr.-2017 20:21:57.646,12.54901981,14.72871017,1427,-2.34375,-3.125,22.57999992,-,-,29
10-apr.-2017 20:21:57.749,12.54901981,14.72871017,1427,-2.34375,-3.125,22.57999992,-,-,28.5
10-apr.-2017 20:21:57.847,12.54901981,14.46313381,1427,-2.34375,-3.125,22.57999992,-,-,28.5
10-apr.-2017 20:21:57.947,12.94117641,14.46313381,1567,-2.34375,-3.125,26.36000061,-,-,28.5
10-apr.-2017 20:21:58.047,12.94117641,14.46313381,1567,-1.5625,-3.125,26.36000061,-,-,30
10-apr.-2017 20:21:58.147,12.94117641,14.80407715,1567,-1.5625,-3.90625,26.36000061,-,-,30
10-apr.-2017 20:21:58.249,12.94117641,14.80407715,1611.5,-1.5625,-3.90625,25.65999985,-,-,30
10-apr.-2017 20:21:58.348,12.94117641,14.80407715,1611.5,-3.125,-3.90625,25.65999985,-,-,30.5
10-apr.-2017 20:21:58.448,12.94117641,14.36982441,1611.5,-3.125,-3.125,25.65999985,-,-,30.5
10-apr.-2017 20:21:58.547,12.94117641,14.36982441,1650.25,-3.125,-3.125,25.37999916,-,-,30.5
10-apr.-2017 20:21:58.647,12.94117641,14.32675743,1650.25,-3.125,-3.125,25.37999916,-,-,32
10-apr.-2017 20:21:58.747,12.94117641,14.32675743,1650.25,-3.125,-3.125,25.37999916,-,-,32
10-apr.-2017 20:21:58.848,12.94117641,14.32675743,1665.25,-3.125,-3.125,25.37999916,-,-,32
10-apr.-2017 20:21:58.947,12.94117641,14.32675743,1665.25,-3.125,-3.125,25.37999916,-,-,32
10-apr.-2017 20:21:59.047,12.94117641,14.59233475,1665.25,-3.125,-2.34375,25.37999916,-,-,32
10-apr.-2017 20:21:59.147,12.94117641,14.59233475,1665.25,-3.125,-2.34375,25.61000061,-,-,32
10-apr.-2017 20:21:59.247,12.94117641,14.59233475,1702.75,-3.125,-2.34375,25.61000061,-,-,32
10-apr.-2017 20:21:59.347,12.94117641,14.59233475,1702.75,-3.125,-3.125,25.61000061,-,-,33.5
10-apr.-2017 20:21:59.447,13.33333397,14.48825645,1702.75,-3.125,-3.125,34.15999985,-,-,33.5
10-apr.-2017 20:21:59.547,13.33333397,14.48825645,1807.75,-1.5625,-3.125,34.15999985,-,-,33.5
10-apr.-2017 20:21:59.648,13.33333397,14.48825645,1807.75,-1.5625,-1.5625,34.15999985,-,-,31.5
10-apr.-2017 20:21:59.748,14.50980377,14.97993183,1807.75,-1.5625,-1.5625,35.86000061,-,-,31.5
10-apr.-2017 20:21:59.851,14.50980377,14.97993183,1896.75,-0.78125,-1.5625,35.86000061,-,-,31.5
10-apr.-2017 20:21:59.946,14.50980377,14.97993183,1896.75,-0.78125,-0.78125,35.86000061,-,-,32
10-apr.-2017 20:22:00.046,14.90196133,14.77177715,1896.75,-0.78125,-0.78125,41.18999863,-,-,32
10-apr.-2017 20:22:00.146,14.90196133,14.77177715,2021.75,-0.78125,-0.78125,41.18999863,-,-,32
10-apr.-2017 20:22:00.246,14.90196133,14.77177715,2021.75,0,-0.78125,41.18999863,-,-,32
